day, x, y, z
204,7.846678761047579E11,-1.3079016879296938E12,5.362456412126159E9
205,7.854045510856497E11,-1.307563708569649E12,5.367743095623688E9
206,7.861409286203384E11,-1.307225157680766E12,5.372930575929051E9
207,7.86877008853522E11,-1.3068860368713276E12,5.378019570334609E9
208,7.876127919281522E11,-1.306546347732209E12,5.383010787382605E9
209,7.883482779854402E11,-1.3062060918371729E12,5.387904927015702E9
210,7.890834671648622E11,-1.3058652707431567E12,5.392702680724202E9
211,7.898183596041655E11,-1.3055238859905547E12,5.397404731690035E9
212,7.905529554393749E11,-1.3051819391034927E12,5.402011754927616E9
213,7.912872548047992E11,-1.3048394315900984E12,5.406524417421642E9
214,7.920212578330385E11,-1.304496364942765E12,5.410943378261916E9
215,7.927549646549908E11,-1.304152740638409E12,5.41526928877527E9
216,7.934883753998602E11,-1.3038085601387244E12,5.419502792654673E9
217,7.94221490195164E11,-1.303463824890429E12,5.423644526085579E9
218,7.949543091667405E11,-1.3031185363255068E12,5.4276951178696165E9
219,7.956868324387578E11,-1.3027726958614468E12,5.431655189545649E9
220,7.964190601337216E11,-1.3024263049014739E12,5.435525355508308E9
221,7.971509923724835E11,-1.302079364834777E12,5.439306223124049E9
222,7.9788262927425E11,-1.301731877036733E12,5.442998392844784E9
223,7.986139709565911E11,-1.3013838428691233E12,5.446602458319173E9
224,7.99345017535449E11,-1.3010352636803503E12,5.450119006501617E9
225,8.000757691251476E11,-1.3006861408056453E12,5.453548617759016E9
226,8.008062258384014E11,-1.3003364755672747E12,5.456891865975344E9
227,8.015363877863247E11,-1.2999862692747412E12,5.460149318654105E9
228,8.022662550784412E11,-1.2996355232249817E12,5.46332153701871E9
229,8.029958278226931E11,-1.29928423870256E12,5.466409076110834E9
230,8.037251061254514E11,-1.2989324169798572E12,5.469412484886798E9
231,8.044540900915245E11,-1.2985800593172568E12,5.47233230631203E9
232,8.051827798241688E11,-1.2982271669633281E12,5.475169077453646E9
233,8.059111754250979E11,-1.297873741155004E12,5.477923329571199E9
234,8.066392769944927E11,-1.297519783117756E12,5.480595588205642E9
235,8.073670846310112E11,-1.2971652940657683E12,5.483186373266536E9
236,8.080945984317985E11,-1.2968102752021033E12,5.485696199117571E9
237,8.088218184924963E11,-1.296454727718869E12,5.488125574660406E9
238,8.095487449072537E11,-1.2960986527973804E12,5.4904750034169E9
239,8.102753777687363E11,-1.2957420516083193E12,5.492744983609745E9
240,8.11001717168137E11,-1.29538492531189E12,5.49493600824156E9
241,8.117277631951854E11,-1.2950272750579717E12,5.497048565172467E9
242,8.124535159381586E11,-1.2946691019862703E12,5.499083137196193E9
243,8.131789754838904E11,-1.2943104072264648E12,5.501040202114725E9
244,8.139041419177819E11,-1.293951191898353E12,5.502920232811564E9
245,8.146290153238115E11,-1.2935914571119922E12,5.50472369732359E9
246,8.15353595784545E11,-1.29323120396784E12,5.506451058911592E9
247,8.160778833811456E11,-1.2928704335568909E12,5.508102776129475E9
248,8.168018781933837E11,-1.2925091469608096E12,5.509679302892187E9
249,8.175255802996471E11,-1.2921473452520647E12,5.51118108854239E9
250,8.182489897769514E11,-1.2917850294940571E12,5.512608577915896E9
251,8.189721067009493E11,-1.2914222007412476E12,5.513962211405915E9
252,8.196949311459413E11,-1.2910588600392817E12,5.515242425026114E9
253,8.204174631848848E11,-1.2906950084251123E12,5.516449650472545E9
254,8.211397028894048E11,-1.2903306469271204E12,5.517584315184434E9
255,8.218616503298033E11,-1.2899657765652332E12,5.518646842403892E9
256,8.225833055750695E11,-1.2896003983510408E12,5.519637651234532E9
257,8.23304668692889E11,-1.2892345132879097E12,5.520557156699055E9
258,8.240257397496545E11,-1.2888681223710957E12,5.521405769795793E9
259,8.24746518810475E11,-1.288501226587854E12,5.522183897554261E9
260,8.254670059391852E11,-1.2881338269175474E12,5.52289194308972E9
261,8.261872011983557E11,-1.2877659243317527E12,5.523530305656774E9
262,8.269071046493026E11,-1.2873975197943652E12,5.524099380702034E9
263,8.276267163520969E11,-1.2870286142617024E12,5.524599559915859E9
264,8.283460363655739E11,-1.2866592086826038E12,5.525031231283193E9
265,8.290650647473428E11,-1.286289303998531E12,5.525394779133517E9
266,8.297838015537964E11,-1.2859189011436653E12,5.52569058418995E9
267,8.305022468401201E11,-1.2855480010450032E12,5.52591902361749E9
268,8.312204006603015E11,-1.2851766046224514E12,5.526080471070436E9
269,8.319382630671395E11,-1.2848047127889192E12,5.526175296738996E9
270,8.326558341122538E11,-1.2844323264504097E12,5.526203867395103E9
271,8.333731138460935E11,-1.2840594465061096E12,5.526166546437457E9
272,8.340901023179471E11,-1.2836860738484775E12,5.526063693935797E9
273,8.348067995759509E11,-1.2833122093633303E12,5.525895666674436E9
274,8.355232056670981E11,-1.2829378539299292E12,5.525662818195064E9
275,8.362393206372482E11,-1.2825630084210625E12,5.525365498838834E9
276,8.369551445311353E11,-1.2821876737031294E12,5.525004055787749E9
277,8.376706773923773E11,-1.2818118506362202E12,5.524578833105362E9
278,8.38385919263485E11,-1.2814355400741965E12,5.524090171776802E9
279,8.3910087018587E11,-1.28105874286477E12,5.523538409748144E9
280,8.398155301998542E11,-1.2806814598495796E12,5.522923881965132E9
281,8.40529899344678E11,-1.280303691864267E12,5.522246920411266E9
282,8.412439776585088E11,-1.279925439738553E12,5.521507854145275E9
283,8.419577651784498E11,-1.279546704296309E12,5.5207070093379755E9
284,8.426712619405485E11,-1.2791674863556313E12,5.5198447093085375E9
285,8.433844679798044E11,-1.2787877867289116E12,5.518921274560166E9
286,8.440973833301783E11,-1.2784076062229072E12,5.517937022815211E9
287,8.448100080245999E11,-1.2780269456388103E12,5.516892269049711E9
288,8.455223420949761E11,-1.277645805772316E12,5.515787325527391E9
289,8.462343855721995E11,-1.277264187413689E12,5.514622501833118E9
