day,x,y,z
213,-6.851735212099786E12,-1.057652080679203E12,2.0259270369224098E7
214,-6.883199050312714E12,-1.0624811800911143E12,2.0315476690049212E7
215,-6.914662868316556E12,-1.0673102763829756E12,2.037168296690202E7
216,-6.946126666294773E12,-1.072139369583196E12,2.0427889200202435E7
217,-6.977590444428343E12,-1.0769684597197982E12,2.0484095390364464E7
218,-7.009054202895796E12,-1.0817975468204255E12,2.054030153779631E7
219,-7.040517941873267E12,-1.0866266309123489E12,2.0596507642900493E7
220,-7.071981661534534E12,-1.0914557120224734E12,2.065271370607393E7
221,-7.103445362051063E12,-1.0962847901773447E12,2.070891972770806E7
222,-7.134909043592045E12,-1.1011138654031555E12,2.0765125708188936E7
223,-7.166372706324437E12,-1.1059429377257522E12,2.082133164789732E7
224,-7.197836350413003E12,-1.1107720071706404E12,2.087753754720878E7
225,-7.229299976020353E12,-1.1156010737629905E12,2.093374340649378E7
226,-7.260763583306976E12,-1.1204301375276448E12,2.0989949226117775E7
227,-7.292227172431282E12,-1.1252591984891218E12,2.1046155006441306E7
228,-7.323690743549634E12,-1.1300882566716233E12,2.1102360747820076E7
229,-7.355154296816385E12,-1.1349173120990383E12,2.115856645060504E7
230,-7.38661783238391E12,-1.1397463647949495E12,2.1214772115142483E7
231,-7.418081350402643E12,-1.1445754147826372E12,2.1270977741774116E7
232,-7.449544851021106E12,-1.1494044620850867E12,2.132718333083714E7
233,-7.481008334385947E12,-1.1542335067249907E12,2.1383388882664338E7
234,-7.512471800641966E12,-1.159062548724756E12,2.1439594397584137E7
235,-7.5439352499321455E12,-1.163891588106508E12,2.1495799875920698E7
236,-7.575398682397686E12,-1.1687206248920945E12,2.1552005317993976E7
237,-7.606862098178029E12,-1.173549659103091E12,2.16082107241198E7
238,-7.638325497410895E12,-1.1783786907608057E12,2.1664416094609946E7
239,-7.669788880232301E12,-1.1832077198862825E12,2.172062142977219E7
240,-7.701252246776598E12,-1.188036746500307E12,2.1776826729910396E7
241,-7.73271559717649E12,-1.1928657706234094E12,2.183303199532457E7
242,-7.764178931563068E12,-1.1976947922758694E12,2.188923722631093E7
243,-7.795642250065831E12,-1.20252381147772E12,2.194544242316196E7
244,-7.827105552812713E12,-1.2073528282487512E12,2.2001647586166486E7
